commonName,latinName,family,aliases,about,pests,diseases,sampleImages,uses,requirements,habitat,taxonomicTree
African Eggplant,Solanum aethiopicum,Solanaceae,"Scarlet eggplant, Bitter tomato, Mock tomato, Garden egg, Ethiopian tomato","African eggplant, Solanum aethiopicum, is a deciduous shrub in the family Solanaceae which is grown for its edible fruits which are cooked and eaten as a vegetable. African eggplant is a highly branching plant which can grow up to 2 m (6.6 ft) in height. The leaves of the plant are arranged alternately on the stems and have smooth or lobed margins. Leaf blades may reach up to 30 cm (11.8 in) in length and 21 cm (8.3 in) in width. The leaf petioles are oval or elliptical in shape, reaching up to 11 cm (4.3 in) in length. Plants produce clusters of up to 12 white flowers which develop into egg- or spindle-shaped berries which are red to orange in color with a smooth or grooved surface depending on variety.",nil,nil,"https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/383/original/Solanum_aethiopicum.jpg?1437064419,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/382/original/6273858640_7f448f8208_o.jpg?1437064411,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/381/original/7177316754_13306fcf20_o.jpg?1437064349,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/380/original/3764336309_901d460029_o.jpg?1437062114,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/379/original/7177315516_a1af3c894d_o_%281%29.jpg?1437061776,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/378/original/Solanum_aethiopicum_MS_2264_%281%29.jpeg?1437064341",nil,nil,terrestrial,"Domain: Eukaryota, Kingdom: Plantae, Phylum: Spermatophyta, Subphylum: Angiospermae, Class: Dicotyledonae, Order:  Solanales, Family: Solanaceae, Genus: solanum, Species: ""Solanum aethiopicum"""
Alfalfa,Medicago sativa,Fabaceae,Lucerne,"Alfalfa, Medicago sativa, is an herbaceous perennial in the plant family Fabaceae (peas and beans) which is primarily grown as a forage crop which can be grazed by animals or harvested as hay to be used as an animal feed. Alfalfa has a deeply penetrating taproot and the stems of the plant branch from a woody base, growing upright and erect or along the ground. The leaves of the plant are made up of three individual leaflets (trifoliate) which are are narrow and oval or oblong in shape with a smooth upper surface and slightly hairy lower surface. Alfalfa plants produce flowers on racemes (flower stalks) and each raceme possesses 10–35 densely packed purple flowers. Alfalfa produces spirally coiled seed pods each containing 2–6 seeds. Pods may have a smooth or hairy outer surface. Alfalfa plants can reach a height of 120 cm (47 in) and live for between 3 and 8 years. Alfalfa is also commonly referred to as lucerne and is believed to have originated in Caucasus area, north-western Iran and north-eastern Turkey.",,"Alfalfa mosaic virus, Antharacnose, Common leaf spot, Downy mildew, Fusarium wilt, Lepto leaf spot","https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/383/original/Solanum_aethiopicum.jpg?1437064419,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/382/original/6273858640_7f448f8208_o.jpg?1437064411,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/381/original/7177316754_13306fcf20_o.jpg?1437064349,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/380/original/3764336309_901d460029_o.jpg?1437062114,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/379/original/7177315516_a1af3c894d_o_%281%29.jpg?1437061776,
https://plantvillage-production-new.s3.amazonaws.com/images/pics/000/006/378/original/Solanum_aethiopicum_MS_2264_%281%29.jpeg?1437064341",nil,nil,terrestrial,nil
